year,company,card_number,player,raw_value,psa_8,psa_9,psa_10,source
1952,Bowman,162,Monte Irvin,$35-85,$150+,$500+,"$1,000+",web search 2026
1956,Topps,5,Ted Williams,$250+,$500+,"$1,500+","$5,000+",web search 2026
1956,Topps,79,Sandy Koufax,$475+,"$1,000+","$3,000+","$10,000+",web search 2026
1956,Topps,110,Yogi Berra,$130+,$300+,$800+,"$3,000+",web search 2026
1956,Topps,15,Ernie Banks,$100+,$250+,$600+,"$2,000+",web search 2026
1956,Topps,240,Whitey Ford,$97+,$200+,$500+,"$2,000+",web search 2026
1956,Topps,255,Bob Lemon,$75,$150+,$400+,"$1,500+",web search 2026
1956,Topps,10,Warren Spahn,$50+,$100+,$300+,"$1,000+",web search 2026
1956,Topps,109,Enos Slaughter,$20+,$50+,$150+,$500+,web search 2026
1956,Topps,187,Early Wynn,$24,$50+,$150+,$500+,web search 2026
1956,Topps,61,Bill Skowron,$15+,$40+,$100+,$400+,web search 2026
1956,Topps,165,Red Schoendienst,$15+,$40+,$100+,$400+,web search 2026
1956,Topps,155,Harvey Kuenn,$10+,$25+,$75+,$300+,web search 2026
1956,Topps,24,Dick Groat,$10+,$25+,$75+,$300+,web search 2026
1956,Topps,125,Minnie Minoso,$15+,$40+,$100+,$400+,web search 2026
1957,Topps,10,Willie Mays,$200+,$500+,"$1,500+","$5,000+",web search 2026
1957,Topps,38,Nellie Fox,$30+,$75+,$200+,$600+,web search 2026
1958,Topps,5,Willie Mays,$150+,$400+,"$1,000+","$4,000+",web search 2026
1958,Topps,25,Don Drysdale,$50+,$100+,$300+,"$1,000+",web search 2026
1960,Topps,326,Roberto Clemente,$169,$400+,"$1,000+","$5,000+",web search 2026
1960,Topps,250,Stan Musial,$149,$300+,$800+,"$3,000+",web search 2026
1960,Topps,343,Sandy Koufax,$350,$700+,"$2,000+","$8,000+",web search 2026
1960,Topps,73,Bob Gibson,$35,$80+,$200+,$800+,web search 2026
1960,Topps,35,Whitey Ford,$25+,$60+,$150+,$600+,web search 2026
1960,Topps,100,Nellie Fox,$25,$60+,$150+,$600+,web search 2026
1960,Topps,353,Don Larsen,$70,$150+,$400+,"$1,500+",web search 2026
1960,Topps,240,Luis Aparicio,$15+,$40+,$100+,$400+,web search 2026
1960,Topps,275,Curt Flood,$11,$25+,$75+,$300+,web search 2026
1970,Topps,660,Johnny Bench,$50+,$150+,$400+,"$2,000+",web search 2026
1970,Topps,10,Carl Yastrzemski,$10,$25+,$75+,$300+,web search 2026
1970,Topps,230,Brooks Robinson,$15+,$40+,$100+,$400+,web search 2026
1970,Topps,17,Hoyt Wilhelm,$35,$75+,$200+,$600+,web search 2026
1970,Topps,160,Phil Niekro,$10,$25+,$60+,$200+,web search 2026
1970,Topps,210,Juan Marichal,$6,$15+,$40+,$150+,web search 2026
1971,Topps,100,Pete Rose,$30+,$75+,$200+,$800+,web search 2026 - signed
1971,Topps,180,Al Kaline,$15+,$40+,$100+,$400+,web search 2026
1971,Topps,341,Steve Garvey,$20+,$50+,$150+,$500+,web search 2026 - RC
1971,Topps,384,Rollie Fingers,$3+,$10+,$25+,$100+,web search 2026
1972,Topps,309,Roberto Clemente,$50+,$150+,$400+,"$2,000+",web search 2026
1972,Topps,270,Jim Palmer,$15+,$40+,$100+,$400+,web search 2026
1972,Topps,200,Lou Brock,$15+,$40+,$100+,$400+,web search 2026
1972,Topps,130,Bob Gibson,$15+,$40+,$100+,$400+,web search 2026
1973,Topps,50,Roberto Clemente,$300,$500+,"$1,500+","$5,000+",memorial card
1973,Topps,255,Reggie Jackson,$100,$200+,$500+,"$2,000+",web search 2026
1973,Topps,170,Harmon Killebrew,$123,$200+,$500+,"$2,000+",web search 2026
1973,Topps,230,Joe Morgan,$40,$75+,$200+,$600+,web search 2026
1973,Topps,300,Steve Carlton,$25,$50+,$150+,$500+,web search 2026
1973,Topps,240,Bobby Murcer,$40,$75+,$200+,$600+,web search 2026
1974,Topps,283,Mike Schmidt,$100+,$200+,$600+,"$2,500+",web search 2026
1974,Topps,1,Hank Aaron,$20+,$50+,$150+,$500+,web search 2026
1974,Topps,130,Reggie Jackson,$15+,$40+,$100+,$400+,web search 2026
1974,Topps,40,Jim Palmer,$5+,$15+,$40+,$150+,web search 2026
1974,Topps,80,Tom Seaver,$10+,$25+,$75+,$300+,web search 2026
1974,Topps,400,Harmon Killebrew,$50,$100+,$300+,"$1,000+",web search 2026
1974,Topps,435,Dave Concepcion,$125,$200+,$500+,"$1,500+",web search 2026
1974,Topps,105,Carlton Fisk,$10+,$25+,$75+,$300+,web search 2026
1975,Topps,223,Robin Yount,$83,$150+,$400+,"$1,500+",RC
1975,Topps,500,Nolan Ryan,$50+,$100+,$300+,"$1,000+",web search 2026
1975,Topps,335,Jim Palmer,$10,$25+,$75+,$300+,web search 2026
1975,Topps,370,Tom Seaver,$15,$30+,$75+,$300+,web search 2026
1975,Topps,150,Bob Gibson,$22,$50+,$100+,$400+,web search 2026
1975,Topps,60,Fergie Jenkins,$29,$50+,$100+,$400+,web search 2026
1978,Topps,707,Molitor/Trammell,$30+,$75+,$200+,$800+,dual HOF RC
1978,Topps,400,Nolan Ryan,$30+,$75+,$200+,$800+,web search 2026
1980,Topps,482,Rickey Henderson,$50+,$150+,$400+,"$2,000+",RC
1981,Donruss,1,Ozzie Smith,$1-5,$20+,$47,$150+,web search 2026
1981,Donruss,11,Mike Schmidt,$2-6,$15+,$20+,$100+,web search 2026
1981,Donruss,33,Steve Carlton,$1-3,$15+,$23,$61,web search 2026
1981,Donruss,49,Rod Carew,$1-3,$10+,$15+,$60+,web search 2026
1981,Donruss,62,Johnny Bench,$1-3,$11,$8,$50,web search 2026
1981,Donruss,90,Gary Carter,$1-2,$7+,$20,$42,web search 2026
1981,Donruss,94,Carl Yastrzemski,$1-5,$10+,$20+,$58,web search 2026
1981,Donruss,96,Dennis Eckersley,$1,$5+,$10+,$40+,web search 2026
1981,Donruss,100,George Brett,$2-6,$15+,$30+,$260,web search 2026
1981,Donruss,112,Eddie Murray,$1-2,$7+,$21,$57,web search 2026
