162	1	1952	Giants	LF/RF	Monte Irvin	CM's Cards	Bowman Gum Division	C64BKidpowerShoe Box#2	
1	1	1981	Padres	SS	Ozzie Smith		Donruss	C64CWhiteBox#1	
2	1	1981	Padres	P	Rollie Fingers		Donruss	C64CWhiteBox#1	
3	1	1981	Padres	P	Rick Wise		Donruss	C64CWhiteBox#1	
4	2	1981	Padres	OF	Gene Richards		Donruss	C64CWhiteBox#1	
5	3	1981	Tigers	SS	Alan Trammell		Donruss	C64CWhiteBox#1	
6	1	1981	Tigers	3B	Tom Brookens		Donruss	C64CWhiteBox#1	
7	2	1981	Tigers	C	Duffy Dyer		Donruss	C64CWhiteBox#1	
8	3	1981	Tigers	P	Mark Fidrych		Donruss	C64CWhiteBox#1	$4.00
9	3	1981	Tigers	P	Dave Rozema		Donruss	C64CWhiteBox#1	
10	4	1981	Tigers	OF	Ricky Peters		Donruss	C64CWhiteBox#1	
11	2	1981	Phillies	3B	Mike Schmidt		Donruss	C64CWhiteBox#1	
12	1	1981	Pirates	1B	Willie Stargell		Donruss	C64CWhiteBox#1	
14	2	1981	Pirates	C	Manny Sanguillen		Donruss	C64CWhiteBox#1	
15	3	1981	Pirates	P	Grant Jackson		Donruss	C64CWhiteBox#1	
16	2	1981	Pirates	P	Eddie Solomon		Donruss	C64CWhiteBox#1	
17	2	1981	Pirates	OF	Omar Moreno		Donruss	C64CWhiteBox#1	
18	2	1981	Astros	2B	Joe Morgan		Donruss	C64CWhiteBox#1	
19	3	1981	Astros	IN	Rafael Landestoy		Donruss	C64CWhiteBox#1	
20	2	1981	Astros	C	Bruce Bochy		Donruss	C64CWhiteBox#1	
